City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
319,La Primavera,CO,82.92,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
322,Pyshchug,RU,66.99,scattered clouds,58.8873,45.7134,
323,Khandyga,RU,69.55,clear sky,62.6667,135.6,Apel'sin
325,Chauk,MM,87.89,overcast clouds,20.8833,94.8167,Bo Khin Guest House
327,Ust-Maya,RU,68.9,clear sky,60.4167,134.5333,
329,Paracuru,BR,84.11,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
331,Paita,PE,67.21,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
333,Changji,CN,90.39,clear sky,44.0167,87.3167,Lvye Holiday Resort
334,Jutai,BR,87.13,scattered clouds,-5.1833,-68.9,
335,Guerrero Negro,MX,69.6,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
337,Zanjan,IR,91.09,clear sky,36.6736,48.4787,Qasr Hotel
338,Emba,KZ,91.27,clear sky,48.8264,58.1442,
339,Sahuaripa,MX,84.31,overcast clouds,29.05,-109.2333,Estatua de Sahuaripa
341,Barra Do Bugres,BR,85.12,clear sky,-15.0725,-57.1811,Hotel 4AM Petrofurt
342,Leua,SK,80.49,broken clouds,48.2156,18.6071,Business Hotel ASTRUM Laus
343,Znamenskoye,RU,62.74,broken clouds,57.1281,73.8282,"Gostinitsa ""Kolos"""
345,Port Said,EG,84.18,clear sky,31.2565,32.2841,Aracan Hotel
348,New Albany,US,76.17,mist,38.2856,-85.8241,Hampton Inn New Albany Louisville West
349,Thunder Bay,CA,66.18,fog,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
350,Sabang,ID,83.08,broken clouds,5.8933,95.3214,Hotel Citra
351,Motala,SE,71.15,overcast clouds,58.5371,15.0365,Wärdshuset Berggrens Källare
352,Mahajanga,MG,84.22,scattered clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
354,Luanda,AO,72.75,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
355,Ixtapa,MX,78.22,overcast clouds,20.7,-105.2,hotel la terminal
356,Souillac,MU,68.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
357,Hovd,MN,71.98,broken clouds,48.0056,91.6419,Hotel Khovd
360,Castanos,MX,79.34,clear sky,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
361,Eyl,SO,87.1,broken clouds,7.9803,49.8164,Amiin Hotel
362,Ostrovnoy,RU,66.65,few clouds,68.0531,39.5131,
363,Malayal,PH,78.37,overcast clouds,7.208,121.942,
364,Huntersville,US,86.4,clear sky,35.4107,-80.8429,Hampton Inn & Suites Huntersville
365,Stephenville,US,88.77,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
366,Katesh,TZ,66.02,scattered clouds,-4.5167,35.3833,Colt Guest House
367,Kirakira,SB,78.94,few clouds,-10.4544,161.9205,SanBiz Lodge
368,Cam Ranh,VN,78.76,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
369,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
370,Akyab,MM,83.28,scattered clouds,20.15,92.9,Hotel Memory
371,Chor,PK,90.23,broken clouds,25.5167,69.7667,Asad U Bajeer Hotel
